participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
588,1,2705.2150000235997,apple,47,54,142,15,10GY5/12,99,311570,block2_target_trial
489,1,1820.0000000651928,tree,47,54,142,15,10GY5/12,109,518790,block2_target_trial
271,1,2105.93499999959,toast,45,170,103,0,10YR5/10,72,370078,block2_target_trial
489,1,1557.0000000298023,notion,47,54,142,15,10GY5/12,111,522462,block2_target_trial
365,1,4357,trouble,55,190,26,52,5R4/14,137,824249,block2_target_trial
448,1,4519.025000001304,tie,65,107,108,107,N4,44,1256302,block1_target_trial
491,1,5997.644999995828,badger,65,107,108,107,N4,129,892018,block2_target_trial
482,1,2814.205000002403,notion,17,158,211,223,5B8/4,127,436904,block2_target_trial
588,1,2068.135000008624,randomness,27,29,194,202,10BG7/8,101,316670,block2_target_trial
489,1,1227.0000001881272,magazine,72,0,79,142,10B3/10,113,525613,block2_target_trial
448,1,2425.394999998156,train,80,46,52,38,5GY2/2,45,1259236,block1_target_trial
113,1,3691.2299999967217,dream,17,158,211,223,5B8/4,81,938429,block2_target_trial
448,1,1413.32000000705,apple,47,54,142,15,10GY5/12,46,1261155,block1_target_trial
271,1,5794.659999999567,reality,10,233,232,231,N9,74,379341,block2_target_trial
491,1,2936.4700000733137,toast,45,170,103,0,10YR5/10,131,898200,block2_target_trial
482,1,4795.604999992065,trouble,79,56,49,32,5Y2/2,129,444549,block2_target_trial
264,1,25098.474999977043,bunkbed,39,0,174,198,5B6/10,118,697337,block2_target_trial
489,1,4897.000000113621,kangaroo,67,100,65,8,10YR3/6,115,532846,block2_target_trial
448,1,6493.855000007898,diner,14,184,216,68,5GY8/10,47,1268164,block1_target_trial
271,1,1809.0249999950177,jeans,84,0,58,101,5PB2/8,76,385726,block2_target_trial
113,1,3015.4599999950733,skin,2,238,234,140,10Y9/6,83,947375,block2_target_trial
77,1,22147.57999998983,shyness,7,229,228,239,10PB9/2,32,203415,block1_target_trial
482,1,2314.749999990454,communication,22,254,147,109,10R7/10,131,449863,block2_target_trial
491,1,2590.604999801144,magic,40,96,151,219,5PB6/10,133,905458,block2_target_trial
448,1,1524.904999998398,tree,47,54,142,15,10GY5/12,48,1270195,block1_target_trial
264,1,3466.150000022026,panther,27,29,194,202,10BG7/8,120,703118,block2_target_trial
266,1,4869.195000035688,communication,39,0,174,198,5B6/10,16,225712,block1_target_trial
588,1,9986.01500003133,skin,24,203,172,0,10Y7/12,103,331290,block2_target_trial
489,1,4176.99999990873,bread,35,187,139,0,5Y6/10,117,539149,block2_target_trial
271,1,1706.2100000039209,apple,55,190,26,52,5R4/14,78,391349,block2_target_trial
266,1,3294.914999976754,anxiety,66,137,34,17,10R3/10,17,229550,block1_target_trial
448,1,5021.844999995781,anxiety,87,59,58,58,N2,49,1275723,block1_target_trial
113,1,3584.3949999834877,democracy,83,0,63,80,5B2/6,85,954828,block2_target_trial
489,1,1460.9999998938292,sanity,72,0,79,142,10B3/10,119,542965,block2_target_trial
491,1,2295.9650000557303,noun,47,54,142,15,10GY5/12,135,911881,block2_target_trial
264,1,4012.7400000055786,magic,20,246,186,205,5RP8/6,122,709907,block2_target_trial
588,1,2926.2800000142306,discomfort,44,216,65,0,10R5/16,105,336985,block2_target_trial
482,1,5376.885000005132,weariness,65,107,108,107,N4,133,457825,block2_target_trial
489,1,1563.0000000819564,misconception,72,0,79,142,10B3/10,121,546574,block2_target_trial
271,1,3178.4049999987474,shyness,9,242,226,227,10RP9/2,80,397909,block2_target_trial
77,1,11064.569999987723,train,44,216,65,0,10R5/16,33,215008,block1_target_trial
588,1,1877.0949999452569,regret,45,170,103,0,10YR5/10,107,341213,block2_target_trial
266,1,6534.734999993816,reality,72,0,79,142,10B3/10,18,236625,block1_target_trial
448,1,5737.949999995064,communication,28,99,185,228,10B7/8,50,1281966,block1_target_trial
113,1,3468.4249999991152,magic,20,246,186,205,5RP8/6,87,962427,block2_target_trial
491,1,4759.5349999610335,misconception,45,170,103,0,10YR5/10,137,919698,block2_target_trial
482,1,4367.125000018859,skin,22,254,147,109,10R7/10,135,464618,block2_target_trial
489,1,2196.999999927357,skin,62,0,113,178,5PB4/12,123,551334,block2_target_trial
77,1,4089.899999962654,bunkbed,31,238,151,162,10RP7/8,34,219616,block1_target_trial
266,1,4267.205000040121,tie,51,124,112,186,10PB5/10,19,241430,block1_target_trial
271,1,3674.809999996796,dream,5,205,236,235,10BG9/2,82,405061,block2_target_trial
588,1,2778.455000021495,notion,38,0,173,154,5BG6/10,109,347171,block2_target_trial
489,1,1493.999999947846,flag,63,132,71,157,5P4/12,125,555030,block2_target_trial
